1980 map -- Carter v. Reagan
7,7,2,3,5,5,4,4
7,10,6,4,5,3,6,4
7,10,2,3,3,4,4,3
10,7,4,6,5,2,2,14
9,7,3,4,5,5,4,4
7,8,6,5,5,2,5,8
8,7,5,4,4,2,2,41
7,7,5,6,5,4,2,17
7,7,2,3,5,5,3,27
7,7,2,4,3,5,2,25
7,9,4,3,2,4,4,13
7,7,5,6,2,3,5,26
7,8,4,5,5,2,6,21
7,7,2,4,3,3,1,11
10,7,4,5,3,2,2,10
7,7,5,5,2,3,4,8
7,7,2,3,3,4,6,12
7,8,4,3,2,5,3,3
7,7,4,1,2,4,4,4
7,11,6,5,2,3,1,5
7,9,5,6,2,4,3,7
15,1,6,6,3,2,2,3
8,7,6,6,4,2,5,10
8,7,4,4,4,2,2,3
7,7,6,5,4,3,6,12
10,7,3,1,5,5,4,6
9,7,1,3,3,4,5,13
10,7,4,2,5,5,5,8
12,7,4,2,3,5,2,12
8,7,6,6,4,4,4,17
9,7,1,1,3,4,4,9
10,7,2,4,3,5,4,10
10,7,3,2,2,5,3,9
7,7,2,1,2,5,3,7
12,7,2,1,4,5,4,6
8,7,4,3,5,5,3,10
7,7,5,3,2,4,5,8
7,7,6,4,2,4,5,26
7,9,2,4,3,3,3,4
7,11,1,4,5,4,4,4
7,11,5,5,3,3,1,3
7,10,6,5,3,2,4,7
7,7,3,2,3,3,5,4
7,10,5,6,3,2,4,6
7,12,5,5,5,2,6,4
7,8,4,6,5,4,6,3
7,7,3,6,4,2,6,9
7,7,5,6,5,4,1,6
7,7,6,4,4,3,6,45
7,11,4,5,5,2,3,3
7,7,6,6,3,2,4,4
