4,2,3,5,5,4,4
3,6,4,5,3,6,4
3,2,3,3,4,4,3
7,4,6,5,2,2,13
7,3,4,5,5,4,4
4,6,5,5,2,5,8
6,5,4,4,2,2,36
4,5,6,5,4,2,16
6,2,3,5,5,3,25
6,2,4,3,5,2,23
4,4,3,2,4,4,12
4,5,6,2,3,5,24
6,4,5,5,2,6,20
4,2,4,3,3,1,11
7,4,5,3,2,2,10
3,5,5,2,3,4,8
4,2,3,3,4,6,11
3,4,3,2,5,3,3
2,4,1,2,4,4,3
3,6,5,2,3,1,5
3,5,6,2,4,3,7
3,6,6,3,2,2,3
7,6,6,4,2,5,10
8,4,4,4,2,2,3
4,6,5,4,3,6,12
7,3,1,5,5,4,6
6,1,3,3,4,5,13
4,4,2,5,5,5,8
6,4,2,3,5,2,12
6,6,6,4,4,4,21
6,1,1,3,4,4,9
4,2,4,3,5,4,11
6,3,2,2,5,3,9
6,2,1,2,5,3,7
6,2,1,4,5,4,6
6,4,3,5,5,3,10
4,5,3,2,4,5,8
6,6,4,2,4,5,29
4,2,4,3,3,3,4
3,1,4,5,4,4,4
3,5,5,3,3,1,3
6,6,5,3,2,4,8
4,3,2,3,3,5,5
4,5,6,3,2,4,7
3,5,5,5,2,6,5
6,4,6,5,4,6,4
3,3,6,4,2,6,10
2,5,6,5,4,1,7
4,6,4,4,3,6,47
2,4,5,5,2,3,3
8,6,6,3,2,4,4
