2012 map -- Obama v. Romney
9,7,2,3,3,2,5,4
8,7,2,3,1,2,4,4
13,7,1,1,1,1,2,3
11,7,1,1,4,1,4,11
11,7,1,2,5,2,3,4
10,7,3,2,5,1,6,7
11,7,2,1,1,1,1,29
9,7,1,2,1,1,2,14
8,7,2,4,5,2,3,20
7,7,3,4,6,3,2,18
7,9,3,5,5,5,2,11
10,7,4,2,3,2,1,20
9,7,5,4,1,3,1,16
8,7,2,4,2,3,4,10
8,7,1,3,2,3,1,10
7,7,3,5,3,4,2,6
7,9,5,5,2,4,5,10
7,11,3,6,6,3,3,3
7,10,5,6,4,5,3,3
7,12,4,6,3,3,3,5
7,12,4,6,6,4,3,6
10,7,1,2,3,2,1,3
11,7,1,1,2,2,4,10
15,1,1,1,4,1,4,3
7,7,3,3,4,3,6,13
7,11,4,6,4,4,3,5
7,9,6,4,1,6,2,15
7,10,6,5,3,5,3,9
7,10,6,4,4,5,3,16
7,8,6,4,1,6,5,29
7,11,4,6,6,4,5,8
7,11,5,6,3,6,3,11
7,13,6,6,5,6,6,9
7,11,6,5,2,6,5,6
7,12,5,6,4,5,3,6
7,12,4,5,6,4,2,8
7,14,5,6,6,6,4,7
7,11,6,5,6,6,4,38
7,9,3,6,4,4,3,3
7,14,5,6,3,6,3,4
7,15,3,6,5,3,3,3
7,7,3,3,6,5,4,9
8,7,4,3,5,6,5,5
7,10,5,4,4,6,5,11
7,15,4,5,6,6,4,6
8,7,5,3,6,6,3,6
9,7,3,2,2,3,3,12
9,7,2,2,3,4,1,7
10,7,2,1,1,3,3,55
7,13,1,5,3,2,6,3
13,7,2,1,2,2,6,4
